% X                       Y                        sigma11 @ t=5            sigma22 @ t=5            sigma12 @ t=5            D1 @ t=5                 D2 @ t=5
-2                        -2                       -0.0027235003792035646   -0.002723348752590956    -0.0015013101780483595   -6.006103724355283E-4    5.980640498036843E-4
-1.96                     -2                       0.003838363969954216     -0.0014688823336606264   -0.0010953614296264208   -0.013467191974746329    5.955954220514675E-4
-1.92                     -2                       0.0073480082153505625    -0.0012868772566909216   -0.0017717957138666252   -0.027287318836313898    5.914317793420804E-4
-1.88                     -2                       0.013759282594809897     1.25522859955241E-4      -9.391098520340618E-4    -0.040610569088884926    5.856231940751799E-4
-1.84                     -2                       0.016551301773378765     2.459544409073233E-4     -3.966228986017062E-4    -0.05350187877838927     5.786316475957093E-4
-1.8                      -2                       0.01708626545245181      3.1058806823077746E-4    -0.0011640908963393287   -0.0670821588503689      5.705610612831979E-4
-1.76                     -2                       0.016088531630553682     7.44800097011957E-4      -4.60565980866523E-5     -0.07912454103988492     5.616170206029641E-4
-1.72                     -2                       0.01182478468373203      7.538653994095153E-4     2.96198348495591E-6      -0.09174930636400928     5.519592875964374E-4
-1.68                     -2                       0.005184633556221745     9.152361521551477E-4     1.0126990293919669E-4    -0.10395588386947595     5.416199668519528E-4
-1.6400000000000001       -2                       -0.004647152887107633    7.853872233066477E-4     3.592560994506999E-4     -0.11577726264786575     5.307483451372913E-4
-1.6                      -2                       -0.016201547692362296    9.052716819857934E-4     3.584231229343954E-4     -0.12791646421628985     5.193620801196147E-4
-1.56                     -2                       -0.031243479152105687    7.030475533898375E-4     4.855483095449753E-4     -0.1389687238806331      5.075298688244773E-4
-1.52                     -2                       -0.047812074086758326    7.031795649192086E-4     6.622174233025802E-4     -0.15026907573954307     4.953018662748471E-4
-1.48                     -2                       -0.06691058506975198     5.614570715808728E-4     6.804581982168822E-4     -0.16118267548567186     4.8269212026608166E-4
-1.44                     -2                       -0.08779901968450153     4.838871320451722E-4     7.084258998863308E-4     -0.17172668825524456     4.697609519468404E-4
-1.4                      -2                       -0.11039725273526968     3.6611903952810457E-4    0.0010892575829298812    -0.18231520938655352     4.565144205705418E-4
-1.3599999999999999       -2                       -0.13477907645048012     2.583357824936655E-4     7.671304392654343E-4     -0.192154073492586       4.4299204064404685E-4
-1.3199999999999998       -2                       -0.16011601266656347     2.7154028619001333E-4    9.763332929584867E-4     -0.20199083167683707     4.292160954069285E-4
-1.28                     -2                       -0.18731170274434775     1.918803138782621E-5     9.801790092064944E-4     -0.2114511594287324      4.1519815834657747E-4
-1.24                     -2                       -0.2149842272343481      6.162446825157264E-7     8.639572828892661E-4     -0.22054431028037783     4.009776116653818E-4
-1.2                      -2                       -0.24389444252598713     -2.31102219896865E-4     0.001398315628959701     -0.2295422612322185      3.8655600927843536E-4
-1.1600000000000001       -2                       -0.2730992776035033      -2.590937808670882E-4    8.745661019551598E-4     -0.23792089419147494     3.719686521501536E-4
-1.12                     -2                       -0.30254827754974484     -2.3031938289111778E-4   0.0010810092180477682    -0.24617300157106337     3.572276885980691E-4
-1.08                     -2                       -0.3330038329195631      -5.093827172287166E-4    0.0010619513040446005    -0.25405117217552303     3.423450922996757E-4
-1.04                     -2                       -0.3628950739155383      -4.939785165458191E-4    8.782120680699279E-4     -0.2615612046803419      3.273539341012016E-4
-1                        -2                       -0.39326812020491814     -7.386479420511682E-4    0.001418280105989267     -0.2688829777410678      3.122532639416725E-4
-0.96                     -2                       -0.42294977293847363     -7.372174264531559E-4    8.44822940370693E-4      -0.275670162044312       2.97077554246461E-4
-0.9199999999999999       -2                       -0.45209494645773773     -6.931092314525419E-4    0.0010309863988462037    -0.2822486324072618      2.8183357848495655E-4
-0.8799999999999999       -2                       -0.4814233505848087      -9.508601477785927E-4    9.767260356851742E-4     -0.28845523768086484     2.6653325549955836E-4
-0.8400000000000001       -2                       -0.5094495713691451      -9.240960745899862E-4    7.827784998005044E-4     -0.29429470807344515     2.5120538389953456E-4
-0.8                      -2                       -0.5365262424918583      -8.502039226692404E-4    0.0013226134542677626    -0.2998960129884389      2.3584764437854094E-4
-0.76                     -2                       -0.5635469046910432      -0.0011223232048720166   7.109192457691038E-4     -0.3050012579172825      2.2049178430312566E-4
-0.72                     -2                       -0.5887224348159223      -0.0010662438645437158   8.646143340231421E-4     -0.30985623165845033     2.051414641346741E-4
-0.6799999999999999       -2                       -0.6133734533529948      -0.0012735407087668404   7.72761432750832E-4      -0.31434469846977575     1.8980735830782802E-4
-0.6399999999999999       -2                       -0.6362729461049136      -0.0012499287082385416   6.062982281384993E-4     -0.3184714374475251      1.7451369926183707E-4
-0.5999999999999999       -2                       -0.6575854715282711      -0.001153704771825248    0.0010444632435177847    -0.3223194058573917      1.5925789004118257E-4
-0.56                     -2                       -0.6783563284919378      -0.0013871542280523216   5.055223493711236E-4     -0.32572599037174127     1.440665053544024E-4
-0.52                     -2                       -0.6968640407936226      -0.0013255340199975138   6.163923818977568E-4     -0.3288485016553756      1.289421828390494E-4
-0.48                     -2                       -0.7142929500204009      -0.0014657108472230437   4.954337234923181E-4     -0.33161453333591395     1.1389330810204767E-4
-0.43999999999999995      -2                       -0.7297783153137966      -0.0014521121619397587   3.77372930375125E-4      -0.3340293116029322      9.893955717471883E-5
-0.3999999999999999       -2                       -0.7435582389288391      -0.0014797078339876396   4.951220946458265E-4     -0.3361408015929247      8.407910312770855E-5
-0.3599999999999999       -2                       -0.7558468307637299      -0.0015214587976131455   2.6046763300992953E-4    -0.33786359444551206     6.933178624247624E-5
-0.32000000000000006      -2                       -0.766027537870544       -0.0014627619183625526   3.200429630859092E-4     -0.3392834999994855      5.470123983652986E-5
-0.28                     -2                       -0.7747432852994274      -0.0015285822780545938   1.8607877816091342E-4    -0.340361676621558       4.0192964869513806E-5
-0.24                     -2                       -0.7815429269948523      -0.0015263341443836898   1.2425324189521345E-4    -0.34110383816740075     2.5822700292630306E-5
-0.19999999999999996      -2                       -0.7862982852298978      -0.0014772708648097405   7.108220012840352E-5     -0.34154155684651705     1.1590191463688344E-5
-0.15999999999999992      -2                       -0.7896646038767354      -0.0015283591212857453   5.290910606831067E-6     -0.3416223474714881      -2.49188224206681E-6
-0.11999999999999988      -2                       -0.7908754192629388      -0.0014813279621392478   8.49805818172334E-6      -0.3414038779855193      -1.6417419918853936E-5
-0.08000000000000007      -2                       -0.7904057131142475      -0.0014732015522168906   -1.1955189378794889E-4   -0.34086255207623883     -3.018390658984793E-5
-0.040000000000000036     -2                       -0.7882261992975336      -0.0014804624178449965   -1.2656881006079326E-4   -0.3400044586657739      -4.377872223243484E-5
0                         -2                       -0.7839209680391778      -0.0013734061957534627   -3.275980633821729E-4    -0.338854336107834       -5.720017514921488E-5
0.040000000000000036      -2                       -0.7784051766716813      -0.00142172205212409     -2.344250850757068E-4    -0.3373733595080318      -7.044226734267099E-5
0.08000000000000007       -2                       -0.7709297018775694      -0.001393356084362432    -2.875501070645006E-4    -0.3356094683245407      -8.349593772623981E-5
